scenario,measure_id,measure_name,vaccine_name,location_id,location_name,sex_id,sex_name,year_id,mean,lower,upper
worse,18,Proportion,MCV2,8,Taiwan,3,Both,2027,0.887,0.591,0.988
reference,18,Proportion,MCV2,8,Taiwan,3,Both,2027,0.987,0.939,0.999
better,18,Proportion,MCV2,8,Taiwan,3,Both,2027,0.989,0.949,0.999
worse,18,Proportion,MCV2,8,Taiwan,3,Both,2028,0.867,0.538,0.985
reference,18,Proportion,MCV2,8,Taiwan,3,Both,2028,0.987,0.939,0.999
better,18,Proportion,MCV2,8,Taiwan,3,Both,2028,0.989,0.949,0.999
worse,18,Proportion,MCV2,8,Taiwan,3,Both,2029,0.847,0.492,0.983
reference,18,Proportion,MCV2,8,Taiwan,3,Both,2029,0.987,0.936,0.999
better,18,Proportion,MCV2,8,Taiwan,3,Both,2029,0.988,0.944,0.999
worse,18,Proportion,MCV2,8,Taiwan,3,Both,2030,0.827,0.451,0.98
reference,18,Proportion,MCV2,8,Taiwan,3,Both,2030,0.985,0.93,0.999
better,18,Proportion,MCV2,8,Taiwan,3,Both,2030,0.987,0.937,0.999
worse,18,Proportion,PCV3,8,Taiwan,3,Both,2024,0.958,0.933,0.983
reference,18,Proportion,PCV3,8,Taiwan,3,Both,2024,0.973,0.951,0.991
better,18,Proportion,PCV3,8,Taiwan,3,Both,2024,0.99,0.983,0.995
worse,18,Proportion,PCV3,8,Taiwan,3,Both,2025,0.943,0.916,0.976
reference,18,Proportion,PCV3,8,Taiwan,3,Both,2025,0.974,0.952,0.991
better,18,Proportion,PCV3,8,Taiwan,3,Both,2025,0.991,0.988,0.996
worse,18,Proportion,PCV3,8,Taiwan,3,Both,2026,0.928,0.899,0.969
reference,18,Proportion,PCV3,8,Taiwan,3,Both,2026,0.975,0.953,0.991
better,18,Proportion,PCV3,8,Taiwan,3,Both,2026,0.991,0.989,0.996
worse,18,Proportion,PCV3,8,Taiwan,3,Both,2027,0.913,0.883,0.961
reference,18,Proportion,PCV3,8,Taiwan,3,Both,2027,0.975,0.954,0.991
better,18,Proportion,PCV3,8,Taiwan,3,Both,2027,0.991,0.989,0.996
worse,18,Proportion,PCV3,8,Taiwan,3,Both,2028,0.899,0.866,0.954
reference,18,Proportion,PCV3,8,Taiwan,3,Both,2028,0.975,0.955,0.992
better,18,Proportion,PCV3,8,Taiwan,3,Both,2028,0.991,0.988,0.996
worse,18,Proportion,PCV3,8,Taiwan,3,Both,2029,0.885,0.85,0.946
reference,18,Proportion,PCV3,8,Taiwan,3,Both,2029,0.976,0.955,0.992
better,18,Proportion,PCV3,8,Taiwan,3,Both,2029,0.991,0.988,0.996
worse,18,Proportion,PCV3,8,Taiwan,3,Both,2030,0.871,0.834,0.938
reference,18,Proportion,PCV3,8,Taiwan,3,Both,2030,0.976,0.956,0.992
better,18,Proportion,PCV3,8,Taiwan,3,Both,2030,0.991,0.988,0.996
worse,18,Proportion,DTP3,10,Cambodia,3,Both,2024,0.798,0.751,0.837
reference,18,Proportion,DTP3,10,Cambodia,3,Both,2024,0.819,0.771,0.858
better,18,Proportion,DTP3,10,Cambodia,3,Both,2024,0.84,0.791,0.881
worse,18,Proportion,DTP3,10,Cambodia,3,Both,2025,0.784,0.737,0.822
reference,18,Proportion,DTP3,10,Cambodia,3,Both,2025,0.825,0.778,0.863
better,18,Proportion,DTP3,10,Cambodia,3,Both,2025,0.868,0.817,0.91
worse,18,Proportion,DTP3,10,Cambodia,3,Both,2026,0.77,0.724,0.807
reference,18,Proportion,DTP3,10,Cambodia,3,Both,2026,0.83,0.785,0.868
better,18,Proportion,DTP3,10,Cambodia,3,Both,2026,0.897,0.845,0.941
worse,18,Proportion,DTP3,10,Cambodia,3,Both,2027,0.756,0.711,0.792
reference,18,Proportion,DTP3,10,Cambodia,3,Both,2027,0.836,0.792,0.872
better,18,Proportion,DTP3,10,Cambodia,3,Both,2027,0.926,0.873,0.973
worse,18,Proportion,DTP3,10,Cambodia,3,Both,2028,0.743,0.699,0.778
reference,18,Proportion,DTP3,10,Cambodia,3,Both,2028,0.841,0.798,0.876
better,18,Proportion,DTP3,10,Cambodia,3,Both,2028,0.957,0.903,1
worse,18,Proportion,DTP3,10,Cambodia,3,Both,2029,0.729,0.686,0.764
reference,18,Proportion,DTP3,10,Cambodia,3,Both,2029,0.845,0.803,0.88
better,18,Proportion,DTP3,10,Cambodia,3,Both,2029,0.982,0.932,1
worse,18,Proportion,DTP3,10,Cambodia,3,Both,2030,0.716,0.673,0.75
reference,18,Proportion,DTP3,10,Cambodia,3,Both,2030,0.85,0.808,0.883
better,18,Proportion,DTP3,10,Cambodia,3,Both,2030,0.996,0.961,1
worse,18,Proportion,MCV2,10,Cambodia,3,Both,2024,0.703,0.632,0.766
reference,18,Proportion,MCV2,10,Cambodia,3,Both,2024,0.724,0.655,0.786
better,18,Proportion,MCV2,10,Cambodia,3,Both,2024,0.745,0.675,0.808
worse,18,Proportion,MCV2,10,Cambodia,3,Both,2025,0.691,0.62,0.753
reference,18,Proportion,MCV2,10,Cambodia,3,Both,2025,0.733,0.665,0.793
better,18,Proportion,MCV2,10,Cambodia,3,Both,2025,0.776,0.706,0.839
worse,18,Proportion,MCV2,10,Cambodia,3,Both,2026,0.678,0.608,0.741
reference,18,Proportion,MCV2,10,Cambodia,3,Both,2026,0.741,0.675,0.799
better,18,Proportion,MCV2,10,Cambodia,3,Both,2026,0.808,0.736,0.87
worse,18,Proportion,MCV2,10,Cambodia,3,Both,2027,0.666,0.596,0.728
reference,18,Proportion,MCV2,10,Cambodia,3,Both,2027,0.749,0.685,0.806
better,18,Proportion,MCV2,10,Cambodia,3,Both,2027,0.84,0.767,0.897
worse,18,Proportion,MCV2,10,Cambodia,3,Both,2028,0.654,0.584,0.716
reference,18,Proportion,MCV2,10,Cambodia,3,Both,2028,0.757,0.693,0.812
better,18,Proportion,MCV2,10,Cambodia,3,Both,2028,0.869,0.8,0.906
worse,18,Proportion,MCV2,10,Cambodia,3,Both,2029,0.642,0.571,0.704
reference,18,Proportion,MCV2,10,Cambodia,3,Both,2029,0.764,0.702,0.818
better,18,Proportion,MCV2,10,Cambodia,3,Both,2029,0.888,0.833,0.912
worse,18,Proportion,MCV2,10,Cambodia,3,Both,2030,0.63,0.559,0.692
reference,18,Proportion,MCV2,10,Cambodia,3,Both,2030,0.771,0.71,0.824
better,18,Proportion,MCV2,10,Cambodia,3,Both,2030,0.898,0.865,0.915
worse,18,Proportion,PCV3,10,Cambodia,3,Both,2024,0.797,0.75,0.836
reference,18,Proportion,PCV3,10,Cambodia,3,Both,2024,0.818,0.771,0.857
better,18,Proportion,PCV3,10,Cambodia,3,Both,2024,0.839,0.79,0.881
worse,18,Proportion,PCV3,10,Cambodia,3,Both,2025,0.783,0.737,0.821
reference,18,Proportion,PCV3,10,Cambodia,3,Both,2025,0.824,0.778,0.862
better,18,Proportion,PCV3,10,Cambodia,3,Both,2025,0.867,0.816,0.91
worse,18,Proportion,PCV3,10,Cambodia,3,Both,2026,0.769,0.724,0.806
reference,18,Proportion,PCV3,10,Cambodia,3,Both,2026,0.83,0.785,0.867
better,18,Proportion,PCV3,10,Cambodia,3,Both,2026,0.896,0.844,0.94
worse,18,Proportion,PCV3,10,Cambodia,3,Both,2027,0.755,0.711,0.792
reference,18,Proportion,PCV3,10,Cambodia,3,Both,2027,0.835,0.791,0.871
better,18,Proportion,PCV3,10,Cambodia,3,Both,2027,0.926,0.873,0.972
worse,18,Proportion,PCV3,10,Cambodia,3,Both,2028,0.742,0.698,0.778
reference,18,Proportion,PCV3,10,Cambodia,3,Both,2028,0.84,0.797,0.875
better,18,Proportion,PCV3,10,Cambodia,3,Both,2028,0.956,0.902,0.999
worse,18,Proportion,PCV3,10,Cambodia,3,Both,2029,0.729,0.685,0.763
reference,18,Proportion,PCV3,10,Cambodia,3,Both,2029,0.845,0.802,0.879
better,18,Proportion,PCV3,10,Cambodia,3,Both,2029,0.982,0.931,0.999
worse,18,Proportion,PCV3,10,Cambodia,3,Both,2030,0.716,0.673,0.749
reference,18,Proportion,PCV3,10,Cambodia,3,Both,2030,0.849,0.808,0.883
better,18,Proportion,PCV3,10,Cambodia,3,Both,2030,0.995,0.96,0.999
worse,18,Proportion,DTP3,11,Indonesia,3,Both,2024,0.727,0.656,0.788
reference,18,Proportion,DTP3,11,Indonesia,3,Both,2024,0.746,0.676,0.808
better,18,Proportion,DTP3,11,Indonesia,3,Both,2024,0.765,0.69,0.83
worse,18,Proportion,DTP3,11,Indonesia,3,Both,2025,0.714,0.644,0.774
reference,18,Proportion,DTP3,11,Indonesia,3,Both,2025,0.753,0.683,0.813
better,18,Proportion,DTP3,11,Indonesia,3,Both,2025,0.79,0.712,0.859
worse,18,Proportion,DTP3,11,Indonesia,3,Both,2026,0.701,0.632,0.76
reference,18,Proportion,DTP3,11,Indonesia,3,Both,2026,0.759,0.69,0.818
better,18,Proportion,DTP3,11,Indonesia,3,Both,2026,0.817,0.734,0.888
worse,18,Proportion,DTP3,11,Indonesia,3,Both,2027,0.689,0.62,0.746
reference,18,Proportion,DTP3,11,Indonesia,3,Both,2027,0.764,0.696,0.823
better,18,Proportion,DTP3,11,Indonesia,3,Both,2027,0.844,0.758,0.919
worse,18,Proportion,DTP3,11,Indonesia,3,Both,2028,0.676,0.608,0.733
reference,18,Proportion,DTP3,11,Indonesia,3,Both,2028,0.77,0.703,0.827
better,18,Proportion,DTP3,11,Indonesia,3,Both,2028,0.872,0.782,0.951
worse,18,Proportion,DTP3,11,Indonesia,3,Both,2029,0.664,0.597,0.72
reference,18,Proportion,DTP3,11,Indonesia,3,Both,2029,0.775,0.709,0.831
better,18,Proportion,DTP3,11,Indonesia,3,Both,2029,0.901,0.807,0.983
worse,18,Proportion,DTP3,11,Indonesia,3,Both,2030,0.652,0.586,0.708
reference,18,Proportion,DTP3,11,Indonesia,3,Both,2030,0.779,0.714,0.835
better,18,Proportion,DTP3,11,Indonesia,3,Both,2030,0.93,0.833,1
worse,18,Proportion,MCV2,11,Indonesia,3,Both,2024,0.653,0.565,0.734
reference,18,Proportion,MCV2,11,Indonesia,3,Both,2024,0.673,0.586,0.753
better,18,Proportion,MCV2,11,Indonesia,3,Both,2024,0.692,0.602,0.776
worse,18,Proportion,MCV2,11,Indonesia,3,Both,2025,0.639,0.552,0.719
reference,18,Proportion,MCV2,11,Indonesia,3,Both,2025,0.678,0.592,0.757
better,18,Proportion,MCV2,11,Indonesia,3,Both,2025,0.717,0.626,0.802
worse,18,Proportion,MCV2,11,Indonesia,3,Both,2026,0.625,0.538,0.703
reference,18,Proportion,MCV2,11,Indonesia,3,Both,2026,0.683,0.598,0.76
better,18,Proportion,MCV2,11,Indonesia,3,Both,2026,0.743,0.652,0.83
worse,18,Proportion,MCV2,11,Indonesia,3,Both,2027,0.611,0.525,0.689
reference,18,Proportion,MCV2,11,Indonesia,3,Both,2027,0.687,0.604,0.764
better,18,Proportion,MCV2,11,Indonesia,3,Both,2027,0.769,0.675,0.857
worse,18,Proportion,MCV2,11,Indonesia,3,Both,2028,0.598,0.513,0.675
reference,18,Proportion,MCV2,11,Indonesia,3,Both,2028,0.691,0.61,0.767
better,18,Proportion,MCV2,11,Indonesia,3,Both,2028,0.796,0.7,0.874
worse,18,Proportion,MCV2,11,Indonesia,3,Both,2029,0.585,0.501,0.662
reference,18,Proportion,MCV2,11,Indonesia,3,Both,2029,0.695,0.615,0.77
better,18,Proportion,MCV2,11,Indonesia,3,Both,2029,0.821,0.726,0.88
worse,18,Proportion,MCV2,11,Indonesia,3,Both,2030,0.572,0.489,0.649
reference,18,Proportion,MCV2,11,Indonesia,3,Both,2030,0.699,0.619,0.772
better,18,Proportion,MCV2,11,Indonesia,3,Both,2030,0.84,0.755,0.884
worse,18,Proportion,PCV3,11,Indonesia,3,Both,2024,0.353,0.312,0.394
reference,18,Proportion,PCV3,11,Indonesia,3,Both,2024,0.362,0.321,0.404
better,18,Proportion,PCV3,11,Indonesia,3,Both,2024,0.371,0.329,0.414
worse,18,Proportion,PCV3,11,Indonesia,3,Both,2025,0.422,0.375,0.47
reference,18,Proportion,PCV3,11,Indonesia,3,Both,2025,0.445,0.398,0.492
better,18,Proportion,PCV3,11,Indonesia,3,Both,2025,0.468,0.417,0.519
worse,18,Proportion,PCV3,11,Indonesia,3,Both,2026,0.471,0.419,0.522
reference,18,Proportion,PCV3,11,Indonesia,3,Both,2026,0.51,0.457,0.561
better,18,Proportion,PCV3,11,Indonesia,3,Both,2026,0.549,0.491,0.607
worse,18,Proportion,PCV3,11,Indonesia,3,Both,2027,0.502,0.446,0.557
reference,18,Proportion,PCV3,11,Indonesia,3,Both,2027,0.558,0.503,0.611
better,18,Proportion,PCV3,11,Indonesia,3,Both,2027,0.616,0.551,0.678
worse,18,Proportion,PCV3,11,Indonesia,3,Both,2028,0.521,0.462,0.578
reference,18,Proportion,PCV3,11,Indonesia,3,Both,2028,0.593,0.535,0.647
better,18,Proportion,PCV3,11,Indonesia,3,Both,2028,0.672,0.601,0.738
worse,18,Proportion,PCV3,11,Indonesia,3,Both,2029,0.53,0.47,0.588
reference,18,Proportion,PCV3,11,Indonesia,3,Both,2029,0.618,0.56,0.674
better,18,Proportion,PCV3,11,Indonesia,3,Both,2029,0.72,0.644,0.791
worse,18,Proportion,PCV3,11,Indonesia,3,Both,2030,0.533,0.473,0.591
reference,18,Proportion,PCV3,11,Indonesia,3,Both,2030,0.637,0.578,0.693
better,18,Proportion,PCV3,11,Indonesia,3,Both,2030,0.761,0.682,0.826
worse,18,Proportion,DTP3,12,Lao People's Democratic Republic,3,Both,2024,0.615,0.568,0.661
reference,18,Proportion,DTP3,12,Lao People's Democratic Republic,3,Both,2024,0.635,0.589,0.681
better,18,Proportion,DTP3,12,Lao People's Democratic Republic,3,Both,2024,0.656,0.605,0.708
worse,18,Proportion,DTP3,12,Lao People's Democratic Republic,3,Both,2025,0.604,0.558,0.649
reference,18,Proportion,DTP3,12,Lao People's Democratic Republic,3,Both,2025,0.644,0.598,0.69
